Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
CausalModel,10.0,65.4,0.4,0.998,0.729,1.0,1.0,0.993,561,4000,fcfs
CausalContinousModel,3.0,85.7,0.3,0.997,0.716,1.0,1.0,0.992,561,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,562,4000,fcfs
AverageOperationModel,-10.0,8.5,-0.1,0.999,0.818,1.0,1.0,0.997,562,4000,fcfs
LogNormalDistributionModel,6.0,11.1,0.0,0.998,0.771,1.0,1.0,0.994,562,4000,fcfs
CausalModel,-13.0,63.1,0.0,0.999,0.771,1.0,1.0,0.996,562,4000,fcfs
CausalContinousModel,-7.0,63.0,-0.2,0.998,0.771,1.0,1.0,0.994,562,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,563,4000,fcfs
AverageOperationModel,-7.0,11.2,0.6,0.999,0.804,1.0,1.0,0.996,563,4000,fcfs
LogNormalDistributionModel,-2.0,13.9,0.8,0.998,0.733,1.0,1.0,0.993,563,4000,fcfs
CausalModel,8.0,64.5,0.5,0.997,0.707,1.0,1.0,0.991,563,4000,fcfs
CausalContinousModel,2.0,57.0,0.5,0.997,0.687,1.0,1.0,0.99,563,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,564,4000,fcfs
AverageOperationModel,4.0,6.3,0.1,0.999,0.82,1.0,1.0,0.998,564,4000,fcfs
LogNormalDistributionModel,1.0,6.9,0.0,0.999,0.8,1.0,1.0,0.997,564,4000,fcfs
CausalModel,7.0,55.9,0.1,0.998,0.718,1.0,1.0,0.994,564,4000,fcfs
CausalContinousModel,1.0,66.2,0.3,0.996,0.658,1.0,1.0,0.988,564,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,565,4000,fcfs
AverageOperationModel,2.0,5.6,0.2,1.0,0.92,1.0,1.0,0.999,565,4000,fcfs
LogNormalDistributionModel,-4.0,12.8,-0.1,0.998,0.756,1.0,1.0,0.994,565,4000,fcfs
CausalModel,-1.0,63.9,0.1,0.997,0.689,1.0,1.0,0.991,565,4000,fcfs
CausalContinousModel,8.0,66.8,0.0,0.998,0.707,1.0,1.0,0.993,565,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,566,4000,fcfs
AverageOperationModel,3.0,16.6,-0.1,0.997,0.682,1.0,1.0,0.991,566,4000,fcfs
LogNormalDistributionModel,-5.0,10.8,0.2,0.998,0.718,1.0,1.0,0.993,566,4000,fcfs
CausalModel,6.0,43.3,-0.4,0.999,0.831,1.0,1.0,0.998,566,4000,fcfs
CausalContinousModel,20.0,53.5,-0.1,0.999,0.796,1.0,1.0,0.996,566,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,567,4000,fcfs
AverageOperationModel,-5.0,7.9,-0.4,0.999,0.816,1.0,1.0,0.996,567,4000,fcfs
LogNormalDistributionModel,0.0,12.7,-0.5,0.998,0.751,1.0,1.0,0.994,567,4000,fcfs
CausalModel,2.0,45.7,0.0,0.998,0.733,1.0,1.0,0.994,567,4000,fcfs
CausalContinousModel,6.0,52.3,-0.2,0.999,0.793,1.0,1.0,0.997,567,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,568,4000,fcfs
AverageOperationModel,-1.0,15.5,-0.2,0.996,0.702,1.0,1.0,0.989,568,4000,fcfs
LogNormalDistributionModel,1.0,14.5,-0.1,0.997,0.707,1.0,1.0,0.99,568,4000,fcfs
CausalModel,3.0,38.1,-0.4,0.996,0.702,1.0,1.0,0.988,568,4000,fcfs
CausalContinousModel,9.0,36.4,-0.1,0.997,0.749,1.0,1.0,0.992,568,4000,fcfs
